2014-07-20 16:04:39,332 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2014-07-20 16:04:39,356 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2014-07-20 16:04:39,357 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2014-07-20 16:07:05,836 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.hashedin:SpringJPAJerseyTemplate:0.0.1-SNAPSHOT @ /home/hasher/Desktop/CommentsSatck/pom.xml.
2014-07-20 16:07:08,276 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringJPAJerseyTemplate/src/main/java
2014-07-20 16:07:08,276 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringJPAJerseyTemplate/src/main/resources
2014-07-20 16:07:08,276 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringJPAJerseyTemplate/src/test/java
2014-07-20 16:07:08,720 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.hashedin:SpringJPAJerseyTemplate:0.0.1-SNAPSHOT @ /home/hasher/Desktop/CommentsSatck/pom.xml.
2014-07-20 16:07:13,590 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 8 sec
2014-07-20 16:07:16,052 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-07-20 16:07:16,054 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2014-07-20 16:07:32,581 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.hashedin:SpringJPAJerseyTemplate:0.0.1-SNAPSHOT @ /home/hasher/Desktop/CommentsSatck/pom.xml.
2014-07-20 16:07:33,477 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:07:33,483 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:07:33,494 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
